Ad group,Ad group ID
Acura | MDX,99357626786
Subaru | Crosstrek,99357680066
Subaru | Crosstrek Hybrid,99357680106
Subaru | Impreza WRX,99357680346
Subaru | Legacy,99357680386
Subaru | XV Crosstrek Hybrid,99357680826
Suzuki | Aerio,99357680866
Suzuki | Kizashi,99357681106
Suzuki | SX4,99357681266
Toyota | 86,99357681786
Toyota | Avalon,99357681826
Toyota | Camry Hybrid,99357682226
Toyota | Corolla,99357682306
Toyota | Corolla Matrix,99357682466
Toyota | FJ Cruiser,99357682506
Toyota | Highlander,99357682546
Toyota | Highlander Hybrid,99357682706
Toyota | MR2 Spyder,99357682746
Toyota | Prius C,99357683026
Toyota | Sequoia,99357683506
Toyota | Yaris,99357683946
Volkswagen | Beetle,99357683986
Volkswagen | GLI,99357684226
Volkswagen | Golf,99357684426
Volkswagen | Golf GTI,99357684466
Volkswagen | Golf R,99357684626
Volkswagen | Jetta,99357684706
Volkswagen | Jetta Hybrid,99357684866
Volkswagen | Rabbit,99357685186
Volkswagen | Tiguan,99357685386
Volkswagen | e-Golf,99357685626
Volvo | C70,99357685866
Volvo | C70 T5,99357685906
Volvo | S60 Cross Country,99357686146
Volvo | S60 T5 FWD,99357686346
Volvo | S80,99357686386
Volvo | S80 T6,99357686586
Volvo | V60 Cross Country,99357686826
Volvo | XC60 3.2 FWD,99357687066
Volvo | XC90 Hybrid,99357687506
Chevrolet | Silverado 3500,101889553140
Chevrolet | Silverado 3500 HD,101889553180
Chevrolet | Silverado Hybrid,101889553580
Chevrolet | Equinox,101889552660
Chevrolet | Silverado,101889552700
Chevrolet | Silverado 1500,101889552860
Chevrolet | Silverado 1500HD,101889552900
Chevrolet | Silverado 2500HD,101889553100
Chevrolet | Silverado 3500HD,101889553340
Chevrolet | Silverado 2500,101889552940
Chevrolet | Silverado Classic 1500,101889553380
Chevrolet | Silverado Classic 2500,101889553420
